depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.25,2,0,0.254,0.151,0.1891,5e-05,0.2586,0.1395,0.1575,0.0339,0.14294,1,0.0,1,310,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.25,2,1,0.254,0.1175,0.1891,5e-05,0.2549,0.1138,0.1744,0.0152,0.11467,1,0.0,1,236,right_elbow_link|torso_link
0.25,2,2,0.254,0.0839,0.1891,6e-05,0.2527,0.0834,0.1792,0.01,0.08897,1,0.0,1,222,right_elbow_link|torso_link
0.25,2,3,0.254,0.0503,0.1891,6e-05,0.2542,0.0484,0.1827,0.0067,0.04885,1,4e-05,1,196,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.25,2,4,0.254,0.0168,0.1891,8e-05,0.2552,0.0143,0.1869,0.0036,0.01502,1,0.0,1,142,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.25,2,5,0.254,-0.0168,0.1891,9e-05,0.254,-0.0167,0.1891,0.0001,0.0,1,0.0,1,86,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.25,2,6,0.254,-0.0503,0.1891,3e-05,0.254,-0.0503,0.1891,0.0,0.0,0,0.0,0,0,
0.25,2,7,0.254,-0.0839,0.1891,4e-05,0.254,-0.0839,0.1891,0.0,0.0,0,0.0,0,0,
0.25,2,8,0.254,-0.1175,0.1891,5e-05,0.254,-0.1175,0.1891,0.0001,0.0,0,0.0,0,0,
0.25,2,9,0.254,-0.151,0.1891,5e-05,0.254,-0.151,0.1891,0.0,0.0,0,0.0,0,0,
0.25,3,0,0.254,0.1566,0.1702,5e-05,0.2596,0.1434,0.1406,0.0329,0.15543,1,0.0,1,338,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.25,3,1,0.254,0.1218,0.1702,5e-05,0.2544,0.113,0.1437,0.028,0.14148,1,0.0,1,314,right_elbow_link|torso_link
0.25,3,2,0.254,0.087,0.1702,6e-05,0.2527,0.0854,0.1591,0.0113,0.10339,1,0.0,1,282,right_elbow_link|torso_link
0.25,3,3,0.254,0.0522,0.1702,7e-05,0.2604,0.0407,0.1622,0.0154,0.04351,1,0.0,1,222,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.25,3,4,0.254,0.0174,0.1702,8e-05,0.2562,0.0124,0.1668,0.0064,0.02054,1,0.0,1,188,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.25,3,5,0.254,-0.0174,0.1702,9e-05,0.254,-0.0174,0.1702,0.0001,0.0,1,0.0,1,92,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.25,3,6,0.254,-0.0522,0.1702,3e-05,0.254,-0.0522,0.1702,0.0,0.0,0,0.0,0,0,
0.25,3,7,0.254,-0.087,0.1702,4e-05,0.254,-0.087,0.1702,0.0,0.0,0,0.0,0,0,
0.25,3,8,0.254,-0.1218,0.1702,5e-05,0.254,-0.1218,0.1702,0.0,0.0,0,0.0,0,0,
0.25,3,9,0.254,-0.1566,0.1702,5e-05,0.254,-0.1566,0.1702,0.0,0.0,0,0.0,0,0,
0.25,4,0,0.254,0.1627,0.1499,6e-05,0.2634,0.1431,0.1179,0.0387,0.17605,1,0.00091,1,392,left_hand_base_link|right_hand_Link1_2;left_hand_base_link|right_hand_Link1_3;right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.25,4,1,0.254,0.1265,0.1499,6e-05,0.2548,0.1151,0.1224,0.0297,0.15388,1,1e-05,1,348,right_elbow_link|torso_link
0.25,4,2,0.254,0.0904,0.1499,6e-05,0.2522,0.0859,0.1336,0.017,0.11995,1,0.0,1,268,right_elbow_link|torso_link
0.25,4,3,0.254,0.0542,0.1499,7e-05,0.2657,0.0391,0.1495,0.0192,0.06144,1,0.0,1,220,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.25,4,4,0.254,0.0181,0.1499,8e-05,0.2572,0.0101,0.1451,0.0098,0.03017,1,0.0,1,234,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.25,4,5,0.254,-0.0181,0.1499,9e-05,0.2546,-0.0199,0.149,0.0021,0.00862,1,3e-05,1,102,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.25,4,6,0.254,-0.0542,0.1499,3e-05,0.254,-0.0542,0.1499,0.0,0.0,0,0.0,1,4,
0.25,4,7,0.254,-0.0904,0.1499,4e-05,0.254,-0.0904,0.1499,0.0,0.0,0,0.0,0,0,
0.25,4,8,0.254,-0.1265,0.1499,4e-05,0.254,-0.1265,0.1499,0.0,0.0,0,0.0,0,0,
0.25,4,9,0.254,-0.1627,0.1499,5e-05,0.254,-0.1627,0.1499,0.0,0.0,0,0.0,0,0,
