depth,row,col,tx,ty,tz,state,final_ok
0.35,0,3,0.354,0.074,0.2364,hits pocket,0
0.35,0,4,0.354,0.0247,0.2364,hits pocket,0
0.35,0,5,0.354,-0.0247,0.2364,hits pocket,0
0.35,0,6,0.354,-0.074,0.2364,model / self-contact,0
0.35,0,7,0.354,-0.1233,0.2364,reachable,1
0.35,0,8,0.354,-0.1726,0.2364,reachable,1
0.35,0,9,0.354,-0.2219,0.2364,reachable,1
0.35,1,0,0.354,0.2296,0.2105,outside workspace box,0
0.35,1,1,0.354,0.1786,0.2105,hits pocket,0
0.35,1,2,0.354,0.1275,0.2105,hits pocket,0
0.35,1,3,0.354,0.0765,0.2105,hits pocket,0
0.35,1,4,0.354,0.0255,0.2105,hits pocket,0
0.35,1,5,0.354,-0.0255,0.2105,hits pocket,0
0.35,1,6,0.354,-0.0765,0.2105,model / self-contact,0
0.35,1,7,0.354,-0.1275,0.2105,reachable,1
0.35,1,8,0.354,-0.1786,0.2105,reachable,1
0.35,1,9,0.354,-0.2296,0.2105,reachable,1
0.35,2,0,0.354,0.2378,0.1829,outside workspace box,0
0.35,2,1,0.354,0.185,0.1829,hits pocket,0
0.35,2,2,0.354,0.1321,0.1829,hits pocket,0
0.35,2,3,0.354,0.0793,0.1829,hits pocket,0
0.35,2,4,0.354,0.0264,0.1829,hits pocket,0
0.35,2,5,0.354,-0.0264,0.1829,hits pocket,0
0.35,2,6,0.354,-0.0793,0.1829,model / self-contact,0
0.35,2,7,0.354,-0.1321,0.1829,reachable,1
0.35,2,8,0.354,-0.185,0.1829,reachable,1
0.35,2,9,0.354,-0.2378,0.1829,reachable,1
0.35,3,0,0.354,0.2467,0.1531,outside workspace box,0
0.35,3,1,0.354,0.1918,0.1531,hits pocket,0
0.35,3,2,0.354,0.137,0.1531,hits pocket,0
0.35,3,3,0.354,0.0822,0.1531,hits pocket,0
0.35,3,4,0.354,0.0274,0.1531,hits pocket,0
0.35,3,5,0.354,-0.0274,0.1531,hits pocket,0
0.35,3,6,0.354,-0.0822,0.1531,model / self-contact,0
0.35,3,7,0.354,-0.137,0.1531,reachable,1
0.35,3,8,0.354,-0.1918,0.1531,reachable,1
0.35,3,9,0.354,-0.2467,0.1531,reachable,1
0.35,4,0,0.354,0.2562,0.1211,outside workspace box,0
0.35,4,1,0.354,0.1993,0.1211,hits pocket,0
0.35,4,2,0.354,0.1423,0.1211,hits pocket,0
0.35,4,3,0.354,0.0854,0.1211,hits pocket,0
0.35,4,4,0.354,0.0285,0.1211,hits pocket,0
0.35,4,5,0.354,-0.0285,0.1211,hits pocket,0
0.35,4,6,0.354,-0.0854,0.1211,model / self-contact,0
0.35,4,7,0.354,-0.1423,0.1211,reachable,1
0.35,4,8,0.354,-0.1993,0.1211,reachable,1
0.35,4,9,0.354,-0.2562,0.1211,reachable,1
0.35,5,0,0.354,0.2665,0.0865,outside workspace box,0
0.35,5,1,0.354,0.2073,0.0865,outside workspace box,0
0.35,5,2,0.354,0.148,0.0865,hits pocket,0
0.35,5,3,0.354,0.0888,0.0865,hits pocket,0
0.35,5,4,0.354,0.0296,0.0865,hits pocket,0
0.35,5,5,0.354,-0.0296,0.0865,hits pocket,0
0.35,5,6,0.354,-0.0888,0.0865,model / self-contact,0
0.35,5,7,0.354,-0.148,0.0865,reachable,1
0.35,5,8,0.354,-0.2073,0.0865,reachable,1
0.35,5,9,0.354,-0.2665,0.0865,reachable,1
0.35,6,0,0.354,0.2776,0.049,outside workspace box,0
0.35,6,1,0.354,0.2159,0.049,outside workspace box,0
0.35,6,2,0.354,0.1542,0.049,hits pocket,0
0.35,6,3,0.354,0.0925,0.049,hits pocket,0
0.35,6,4,0.354,0.0308,0.049,hits pocket,0
0.35,6,5,0.354,-0.0308,0.049,hits pocket,0
0.35,6,6,0.354,-0.0925,0.049,model / self-contact,0
0.35,6,7,0.354,-0.1542,0.049,reachable,1
0.35,6,8,0.354,-0.2159,0.049,reachable,1
0.35,6,9,0.354,-0.2776,0.049,reachable,1
0.35,7,0,0.354,0.2898,0.0082,outside workspace box,0
0.35,7,1,0.354,0.2254,0.0082,outside workspace box,0
0.35,7,2,0.354,0.161,0.0082,hits pocket,0
0.35,7,3,0.354,0.0966,0.0082,hits pocket,0
0.35,7,4,0.354,0.0322,0.0082,hits pocket,0
0.35,7,5,0.354,-0.0322,0.0082,model / self-contact,0
0.35,7,6,0.354,-0.0966,0.0082,model / self-contact,0
0.35,7,7,0.354,-0.161,0.0082,reachable,1
0.35,7,8,0.354,-0.2254,0.0082,reachable,1
0.35,7,9,0.354,-0.2898,0.0082,reachable,1
0.35,8,0,0.354,0.303,-0.0363,outside workspace box,0
0.35,8,1,0.354,0.2357,-0.0363,outside workspace box,0
0.35,8,2,0.354,0.1683,-0.0363,hits pocket,0
0.35,8,3,0.354,0.101,-0.0363,hits pocket,0
0.35,8,4,0.354,0.0337,-0.0363,hits pocket,0
0.35,8,5,0.354,-0.0337,-0.0363,model / self-contact,0
0.35,8,6,0.354,-0.101,-0.0363,model / self-contact,0
0.35,8,7,0.354,-0.1683,-0.0363,model / self-contact,0
0.35,8,8,0.354,-0.2357,-0.0363,model / self-contact,0
0.35,8,9,0.354,-0.303,-0.0363,model / self-contact,0
0.35,9,0,0.354,0.3175,-0.0851,outside workspace box,0
0.35,9,1,0.354,0.2469,-0.0851,outside workspace box,0
0.35,9,2,0.354,0.1764,-0.0851,model / self-contact,0
0.35,9,3,0.354,0.1058,-0.0851,hits pocket,0
0.35,9,4,0.354,0.0353,-0.0851,hits pocket,0
0.35,9,5,0.354,-0.0353,-0.0851,model / self-contact,0
0.35,9,6,0.354,-0.1058,-0.0851,model / self-contact,0
0.35,9,7,0.354,-0.1764,-0.0851,model / self-contact,0
0.35,9,8,0.354,-0.2469,-0.0851,model / self-contact,0
0.35,9,9,0.354,-0.3175,-0.0851,model / self-contact,0
0.4,0,0,0.404,0.2624,0.243,outside workspace box,0
0.4,0,1,0.404,0.2041,0.243,outside workspace box,0
0.4,0,2,0.404,0.1458,0.243,model / self-contact,0
0.4,0,3,0.404,0.0875,0.243,hits pocket,0
0.4,0,4,0.404,0.0292,0.243,hits pocket,0
0.4,0,5,0.404,-0.0292,0.243,hits pocket,0
