depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.3907,346,0,613.8,82.7,0.3946,-0.2766,0.1869,1,1,1,4e-05,0.9591,0.2827,-0.209985,-0.147054,-0.282735,-0.088092,0.029879,-0.027726,-0.107379
0.5001,347,0,348.3,134.5,0.5041,-0.0379,0.1161,1,1,1,8e-05,1.291,0.7695,-0.769469,0.0557,0.038773,0.524379,-0.0323,0.323452,-0.035064
0.3086,348,0,84.3,133.8,0.3126,0.1728,0.1544,1,1,1,4e-05,1.1291,0.6112,-0.267772,0.282683,0.611166,0.081939,-0.109807,0.07092,0.182906
0.4766,349,0,609.9,246.3,0.4805,-0.4146,-0.0407,0,1,0,,,,,,,,,,
0.4121,350,0,639.9,81.6,0.4161,-0.3213,0.1871,1,1,1,9e-05,1.0998,0.3809,-0.356413,-0.236628,-0.380926,0.052618,0.061581,0.089849,-0.100769
0.4677,351,0,68.9,58.5,0.4716,0.2874,0.2103,0,0,0,,,,,,,,,,
0.3979,352,0,528.6,228.9,0.4018,-0.2349,0.0291,1,1,1,7e-05,1.1886,0.1592,-0.111246,-0.100625,-0.159229,0.141396,0.009287,0.091171,-0.051957
0.6053,353,0,506.0,344.2,0.6093,-0.3973,-0.357,0,0,0,,,,,,,,,,
0.5098,354,0,517.6,155.6,0.5138,-0.2764,0.0844,1,1,1,9e-05,1.2029,0.8989,-0.898936,-0.319301,-0.327646,0.89151,0.054753,0.357833,-0.030502
0.2178,355,0,149.7,325.5,0.2218,0.0951,0.0643,1,1,1,8e-05,0.8662,0.6048,0.396296,0.033851,0.604784,-0.18105,0.050913,-0.131591,0.463458
0.2084,356,0,627.4,108.6,0.2124,-0.125,0.1844,1,1,1,4e-05,0.4388,0.7966,0.796634,-0.045975,0.188998,-0.608384,-0.02818,-0.66294,0.146596
0.1701,357,0,215.2,174.7,0.1741,0.0324,0.1688,1,1,1,6e-05,0.5315,0.5859,0.585943,-0.168808,0.536471,-0.515651,0.068226,-0.507091,0.574283
0.6088,358,0,168.8,318.3,0.6128,0.3143,-0.291,0,0,0,,,,,,,,,,
0.3019,359,0,99.4,158.9,0.3059,0.1612,0.1373,1,1,1,8e-05,1.0993,0.6104,-0.180458,0.250611,0.610384,0.052129,-0.089026,0.041872,0.216221
0.2948,360,0,530.1,237.7,0.2988,-0.1625,0.0761,1,1,1,6e-05,0.7311,0.4507,0.4507,0.024141,0.070757,-0.31606,-0.013442,-0.241787,0.020219
0.1756,361,0,504.8,217.9,0.1796,-0.0635,0.1514,1,1,1,5e-05,0.4291,0.9689,0.96893,-0.156912,0.330291,-0.618123,0.047152,-0.651377,0.384305
0.5822,362,0,507.3,167.6,0.5861,-0.3096,0.0445,0,1,0,,,,,,,,,,
0.504,363,0,425.7,54.4,0.508,-0.1317,0.216,1,1,1,5e-05,1.3391,0.7782,-0.778199,-0.069197,-0.119829,0.311911,0.016834,0.275289,-0.057728
0.3018,364,0,372.0,195.0,0.3058,-0.0395,0.1089,1,1,1,6e-05,0.7655,0.324,0.32397,0.039114,0.292615,-0.281715,0.01942,-0.2324,0.22246
0.3523,365,0,424.2,22.8,0.3563,-0.0814,0.2333,1,1,1,8e-05,0.7651,0.2821,-0.097136,0.034214,0.128494,-0.282146,-0.005398,-0.210422,0.074585
