idx,depth,u,v,tx,ty,tz,state,final_ok
190,0.4018,420.4,247.5,0.4057,-0.1169,0.0028,reachable,1
191,0.277,117.0,151.5,0.281,0.131,0.1491,hits pocket,0
192,0.4242,76.1,153.7,0.4281,0.2732,0.1094,outside workspace box,0
193,0.1886,241.6,255.1,0.1925,0.0318,0.1283,hits pocket,0
194,0.4512,92.0,269.6,0.4552,0.3139,-0.0621,outside workspace box,0
195,0.4482,274.8,49.2,0.4522,0.0487,0.2191,model / self-contact,0
196,0.4636,480.0,59.0,0.4675,-0.1813,0.2096,reachable,1
197,0.5009,227.6,329.4,0.5049,0.1554,-0.215,IK fails,0
198,0.4892,118.3,87.1,0.4932,0.2505,0.1776,outside workspace box,0
199,0.1835,336.7,167.2,0.1875,-0.0059,0.1672,hits pocket,0
200,0.1984,484.1,42.2,0.2024,-0.0578,0.2086,reachable,1
201,0.5761,516.1,162.4,0.5801,-0.3185,0.0553,IK fails,0
202,0.1624,385.1,284.2,0.1664,-0.021,0.1341,hits pocket,0
203,0.3465,202.4,135.6,0.3505,0.1005,0.1455,hits pocket,0
204,0.1539,302.4,296.1,0.1579,0.0052,0.1364,hits pocket,0
205,0.0953,545.0,320.1,0.0993,-0.0169,0.1821,model / self-contact,0
206,0.2904,6.0,105.4,0.2944,0.2061,0.1768,outside workspace box,0
207,0.5188,621.1,25.7,0.5227,-0.3776,0.2501,model / self-contact,0
208,0.2696,304.3,46.8,0.2736,0.0088,0.2112,hits pocket,0
209,0.2266,243.8,87.7,0.2306,0.0345,0.1916,hits pocket,0
210,0.3253,268.7,346.4,0.3293,0.0517,-0.0651,hits pocket,0
211,0.0897,608.1,11.0,0.0936,-0.011,0.202,model / self-contact,0
212,0.1821,17.8,239.7,0.1861,0.1136,0.1391,hits pocket,0
213,0.2491,368.9,286.3,0.253,-0.0317,0.0664,hits pocket,0
214,0.3355,157.2,261.1,0.3395,0.1535,0.0281,hits pocket,0
215,0.4923,95.5,31.5,0.4963,0.2662,0.2409,outside workspace box,0
216,0.3561,550.7,320.5,0.36,-0.2527,-0.0611,model / self-contact,0
217,0.3221,98.2,81.2,0.3261,0.1631,0.1908,hits pocket,0
218,0.2145,545.2,234.1,0.2185,-0.1097,0.1236,reachable,1
219,0.6397,483.8,156.8,0.6436,-0.2981,0.0475,IK fails,0
220,0.3494,459.7,143.5,0.3534,-0.1215,0.138,reachable,1
221,0.1698,127.2,334.6,0.1737,0.072,0.106,hits pocket,0
222,0.5651,359.4,215.0,0.569,-0.0664,-0.0337,IK fails,0
223,0.3643,298.7,298.8,0.3683,0.0234,-0.0389,hits pocket,0
224,0.5973,612.1,258.0,0.6012,-0.551,-0.1383,IK fails,0
225,0.1234,603.1,288.8,0.1274,-0.0504,0.1629,model / self-contact,0
226,0.2127,79.6,221.8,0.2167,0.114,0.1311,hits pocket,0
227,0.5073,246.5,62.6,0.5113,0.093,0.2065,model / self-contact,0
228,0.3601,546.9,47.8,0.3641,-0.1864,0.2157,reachable,1
229,0.329,252.8,284.4,0.333,0.0635,0.0069,hits pocket,0
230,0.6369,467.7,203.8,0.6409,-0.2817,-0.0444,IK fails,0
231,0.2993,268.6,355.6,0.3032,0.047,-0.0483,hits pocket,0
232,0.213,116.9,281.5,0.217,0.1036,0.0972,hits pocket,0
233,0.1698,362.1,232.6,0.1738,-0.0139,0.1488,model / self-contact,0
234,0.5404,22.0,355.3,0.5444,0.5669,-0.3159,outside workspace box,0
235,0.2049,79.2,305.3,0.2088,0.119,0.0893,hits pocket,0
