depth,row,col,tx,ty,tz,state,final_ok
0.6,0,5,0.7467,-0.06,0.2885,outside workspace box,0
0.6,0,6,0.7467,-0.18,0.2885,outside workspace box,0
0.6,0,7,0.7467,-0.3,0.2885,outside workspace box,0
0.6,0,8,0.7467,-0.42,0.2885,outside workspace box,0
0.6,0,9,0.7467,-0.54,0.2885,outside workspace box,0
0.6,1,0,0.7244,0.54,0.2248,outside workspace box,0
0.6,1,1,0.7244,0.42,0.2248,outside workspace box,0
0.6,1,2,0.7244,0.3,0.2248,outside workspace box,0
0.6,1,3,0.7244,0.18,0.2248,outside workspace box,0
0.6,1,4,0.7244,0.06,0.2248,outside workspace box,0
0.6,1,5,0.7244,-0.06,0.2248,outside workspace box,0
0.6,1,6,0.7244,-0.18,0.2248,outside workspace box,0
0.6,1,7,0.7244,-0.3,0.2248,outside workspace box,0
0.6,1,8,0.7244,-0.42,0.2248,outside workspace box,0
0.6,1,9,0.7244,-0.54,0.2248,outside workspace box,0
0.6,2,0,0.7021,0.54,0.1611,outside workspace box,0
0.6,2,1,0.7021,0.42,0.1611,outside workspace box,0
0.6,2,2,0.7021,0.3,0.1611,outside workspace box,0
0.6,2,3,0.7021,0.18,0.1611,outside workspace box,0
0.6,2,4,0.7021,0.06,0.1611,outside workspace box,0
0.6,2,5,0.7021,-0.06,0.1611,outside workspace box,0
0.6,2,6,0.7021,-0.18,0.1611,outside workspace box,0
0.6,2,7,0.7021,-0.3,0.1611,outside workspace box,0
0.6,2,8,0.7021,-0.42,0.1611,outside workspace box,0
0.6,2,9,0.7021,-0.54,0.1611,outside workspace box,0
0.6,3,0,0.6798,0.54,0.0974,outside workspace box,0
0.6,3,1,0.6798,0.42,0.0974,outside workspace box,0
0.6,3,2,0.6798,0.3,0.0974,outside workspace box,0
0.6,3,3,0.6798,0.18,0.0974,outside workspace box,0
0.6,3,4,0.6798,0.06,0.0974,outside workspace box,0
0.6,3,5,0.6798,-0.06,0.0974,outside workspace box,0
0.6,3,6,0.6798,-0.18,0.0974,outside workspace box,0
0.6,3,7,0.6798,-0.3,0.0974,outside workspace box,0
0.6,3,8,0.6798,-0.42,0.0974,outside workspace box,0
0.6,3,9,0.6798,-0.54,0.0974,outside workspace box,0
0.6,4,0,0.6575,0.54,0.0336,outside workspace box,0
0.6,4,1,0.6575,0.42,0.0336,outside workspace box,0
0.6,4,2,0.6575,0.3,0.0336,outside workspace box,0
0.6,4,3,0.6575,0.18,0.0336,outside workspace box,0
0.6,4,4,0.6575,0.06,0.0336,outside workspace box,0
0.6,4,5,0.6575,-0.06,0.0336,outside workspace box,0
0.6,4,6,0.6575,-0.18,0.0336,outside workspace box,0
0.6,4,7,0.6575,-0.3,0.0336,outside workspace box,0
0.6,4,8,0.6575,-0.42,0.0336,outside workspace box,0
0.6,4,9,0.6575,-0.54,0.0336,outside workspace box,0
0.6,5,0,0.6352,0.54,-0.0301,outside workspace box,0
0.6,5,1,0.6352,0.42,-0.0301,outside workspace box,0
0.6,5,2,0.6352,0.3,-0.0301,outside workspace box,0
0.6,5,3,0.6352,0.18,-0.0301,IK fails,0
0.6,5,4,0.6352,0.06,-0.0301,IK fails,0
0.6,5,5,0.6352,-0.06,-0.0301,IK fails,0
0.6,5,6,0.6352,-0.18,-0.0301,IK fails,0
0.6,5,7,0.6352,-0.3,-0.0301,IK fails,0
0.6,5,8,0.6352,-0.42,-0.0301,IK fails,0
0.6,5,9,0.6352,-0.54,-0.0301,IK fails,0
0.6,6,0,0.6129,0.54,-0.0938,outside workspace box,0
0.6,6,1,0.6129,0.42,-0.0938,outside workspace box,0
0.6,6,2,0.6129,0.3,-0.0938,outside workspace box,0
0.6,6,3,0.6129,0.18,-0.0938,IK fails,0
0.6,6,4,0.6129,0.06,-0.0938,IK fails,0
0.6,6,5,0.6129,-0.06,-0.0938,IK fails,0
0.6,6,6,0.6129,-0.18,-0.0938,IK fails,0
0.6,6,7,0.6129,-0.3,-0.0938,IK fails,0
0.6,6,8,0.6129,-0.42,-0.0938,IK fails,0
0.6,6,9,0.6129,-0.54,-0.0938,IK fails,0
0.6,7,0,0.5906,0.54,-0.1575,outside workspace box,0
0.6,7,1,0.5906,0.42,-0.1575,outside workspace box,0
0.6,7,2,0.5906,0.3,-0.1575,outside workspace box,0
0.6,7,3,0.5906,0.18,-0.1575,IK fails,0
0.6,7,4,0.5906,0.06,-0.1575,IK fails,0
0.6,7,5,0.5906,-0.06,-0.1575,IK fails,0
0.6,7,6,0.5906,-0.18,-0.1575,IK fails,0
0.6,7,7,0.5906,-0.3,-0.1575,IK fails,0
0.6,7,8,0.5906,-0.42,-0.1575,IK fails,0
0.6,7,9,0.5906,-0.54,-0.1575,IK fails,0
0.6,8,0,0.5683,0.54,-0.2212,outside workspace box,0
0.6,8,1,0.5683,0.42,-0.2212,outside workspace box,0
0.6,8,2,0.5683,0.3,-0.2212,outside workspace box,0
0.6,8,3,0.5683,0.18,-0.2212,IK fails,0
0.6,8,4,0.5683,0.06,-0.2212,IK fails,0
0.6,8,5,0.5683,-0.06,-0.2212,IK fails,0
0.6,8,6,0.5683,-0.18,-0.2212,IK fails,0
0.6,8,7,0.5683,-0.3,-0.2212,IK fails,0
0.6,8,8,0.5683,-0.42,-0.2212,IK fails,0
0.6,8,9,0.5683,-0.54,-0.2212,IK fails,0
0.6,9,0,0.546,0.54,-0.2849,outside workspace box,0
0.6,9,1,0.546,0.42,-0.2849,outside workspace box,0
0.6,9,2,0.546,0.3,-0.2849,outside workspace box,0
0.6,9,3,0.546,0.18,-0.2849,IK fails,0
0.6,9,4,0.546,0.06,-0.2849,IK fails,0
0.6,9,5,0.546,-0.06,-0.2849,IK fails,0
0.6,9,6,0.546,-0.18,-0.2849,IK fails,0
0.6,9,7,0.546,-0.3,-0.2849,IK fails,0
0.6,9,8,0.546,-0.42,-0.2849,IK fails,0
0.6,9,9,0.546,-0.54,-0.2849,IK fails,0
0.7,0,0,0.8578,0.63,0.3032,outside workspace box,0
0.7,0,1,0.8578,0.49,0.3032,outside workspace box,0
0.7,0,2,0.8578,0.35,0.3032,outside workspace box,0
0.7,0,3,0.8578,0.21,0.3032,outside workspace box,0
0.7,0,4,0.8578,0.07,0.3032,outside workspace box,0
0.7,0,5,0.8578,-0.07,0.3032,outside workspace box,0
0.7,0,6,0.8578,-0.21,0.3032,outside workspace box,0
0.7,0,7,0.8578,-0.35,0.3032,outside workspace box,0
0.7,0,8,0.8578,-0.49,0.3032,outside workspace box,0
0.7,0,9,0.8578,-0.63,0.3032,outside workspace box,0
0.7,1,0,0.8318,0.63,0.2289,outside workspace box,0
0.7,1,1,0.8318,0.49,0.2289,outside workspace box,0
0.7,1,2,0.8318,0.35,0.2289,outside workspace box,0
0.7,1,3,0.8318,0.21,0.2289,outside workspace box,0
0.7,1,4,0.8318,0.07,0.2289,outside workspace box,0
0.7,1,5,0.8318,-0.07,0.2289,outside workspace box,0
0.7,1,6,0.8318,-0.21,0.2289,outside workspace box,0
0.7,1,7,0.8318,-0.35,0.2289,outside workspace box,0
0.7,1,8,0.8318,-0.49,0.2289,outside workspace box,0
0.7,1,9,0.8318,-0.63,0.2289,outside workspace box,0
0.7,2,0,0.8057,0.63,0.1546,outside workspace box,0
0.7,2,1,0.8057,0.49,0.1546,outside workspace box,0
0.7,2,2,0.8057,0.35,0.1546,outside workspace box,0
0.7,2,3,0.8057,0.21,0.1546,outside workspace box,0
0.7,2,4,0.8057,0.07,0.1546,outside workspace box,0
0.7,2,5,0.8057,-0.07,0.1546,outside workspace box,0
0.7,2,6,0.8057,-0.21,0.1546,outside workspace box,0
0.7,2,7,0.8057,-0.35,0.1546,outside workspace box,0
0.7,2,8,0.8057,-0.49,0.1546,outside workspace box,0
0.7,2,9,0.8057,-0.63,0.1546,outside workspace box,0
