depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.3,6,4,0.2684,0.0212,0.0962,7e-05,0.2715,0.0103,0.0897,0.0131,0.04197,1,0.0,1,289,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,6,5,0.2684,-0.0212,0.0962,8e-05,0.2695,-0.0263,0.0939,0.0057,0.01626,1,0.0,1,128,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,6,6,0.2595,-0.0606,0.1011,9e-05,0.2596,-0.0606,0.101,0.0001,0.0,1,0.0,1,22,right_wrist_roll_link|torso_link
0.3,6,7,0.2446,-0.0927,0.1092,4e-05,0.2447,-0.0927,0.1092,0.0001,0.0,0,0.0,0,0,
0.3,6,8,0.2276,-0.1163,0.1186,6e-05,0.2277,-0.1163,0.1186,0.0001,0.0,0,0.0,0,0,
0.3,6,9,0.211,-0.1328,0.1278,9e-05,0.2111,-0.1328,0.1278,0.0001,0.0,0,0.0,0,0,
0.3,7,0,0.2202,0.1483,0.1019,8e-05,0.229,0.1067,0.0749,0.0504,0.2053,1,0.00041,1,584,left_wrist_pitch_link|right_hand_Link2_2;left_wrist_pitch_link|right_hand_Link2_3;right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,7,1,0.2391,0.1309,0.0886,8e-05,0.2453,0.1098,0.0617,0.0347,0.18389,1,7e-05,1,613,left_wrist_pitch_link|right_hand_Link2_2;left_wrist_pitch_link|right_hand_Link2_3;left_wrist_yaw_link|right_hand_Link2_2;left_wrist_yaw_link|right_hand_Link2_3;right_elbow_link|torso_link
0.3,7,2,0.2586,0.1049,0.075,8e-05,0.2575,0.0877,0.0498,0.0305,0.16128,1,0.00032,1,538,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,7,3,0.2756,0.069,0.063,7e-05,0.2769,0.0522,0.0463,0.0237,0.1077,1,2e-05,1,422,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,7,4,0.2858,0.0242,0.0559,7e-05,0.2837,0.0189,0.0479,0.0099,0.07101,1,0.0,1,360,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,7,5,0.2858,-0.0242,0.0559,7e-05,0.2853,-0.0256,0.0541,0.0023,0.01239,1,0.0,1,218,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link;right_wrist_roll_link|torso_link
0.3,7,6,0.2756,-0.069,0.063,8e-05,0.2757,-0.0689,0.063,0.0001,0.0,1,0.0,1,3,right_elbow_link|torso_link
0.3,7,7,0.2586,-0.1049,0.075,0.0001,0.2587,-0.1049,0.0749,0.0001,0.0,0,0.0,0,0,
0.3,7,8,0.2391,-0.1309,0.0886,4e-05,0.2391,-0.1309,0.0886,0.0,0.0,0,0.0,0,0,
0.3,7,9,0.2202,-0.1483,0.1019,7e-05,0.2202,-0.1483,0.1018,0.0001,0.0,0,0.0,0,0,
0.3,8,0,0.2271,0.1627,0.0731,0.0001,0.2303,0.1347,0.0988,0.0382,0.25346,1,0.0,1,633,left_wrist_pitch_link|right_hand_Link2_2;left_wrist_pitch_link|right_hand_Link2_3;left_wrist_yaw_link|right_hand_Link2_2;right_elbow_link|torso_link
0.3,8,1,0.2475,0.1441,0.0555,3e-05,0.2535,0.109,0.0194,0.0507,0.21668,1,0.00033,1,610,left_wrist_pitch_link|right_hand_Link2_2;left_wrist_yaw_link|right_hand_Link2_2;left_wrist_yaw_link|right_hand_Link2_3;right_elbow_link|torso_link
0.3,8,2,0.2685,0.1158,0.0374,0.0001,0.2596,0.0804,-0.0095,0.0594,0.19802,1,0.00029,1,414,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
